date,open,high,low,close
2019-01-09T00:00:00,535,535,532.5,532.5
2019-01-10T00:00:00,527.5,527.5,525,525
2019-01-11T00:00:00,530,530,527.5,527.5
2019-01-14T00:00:00,525,525,525,525
2019-01-15T00:00:00,540.5,540.5,525,525
2019-01-16T00:00:00,522.5,522.5,522.5,522.5
2019-01-17T00:00:00,537.5,537.5,537.5,537.5
2019-01-18T00:00:00,535,535,532.5,532.5
2019-01-21T00:00:00,545,545,545,545
2019-01-22T00:00:00,520,520,520,520
2019-01-23T00:00:00,550,550,540,540
2019-01-24T00:00:00,540,540,532.5,532.5
2019-01-25T00:00:00,540,540,522.5,522.5
2019-01-28T00:00:00,540,540,530,530
2019-01-29T00:00:00,530,530,520,520
2019-01-30T00:00:00,525,525,525,525
2019-01-31T00:00:00,535,537.5,535,537.5
2019-02-01T00:00:00,597.5,597.5,570,570
2019-02-04T00:00:00,545,545,545,545
2019-02-05T00:00:00,540,540,530,530
2019-02-06T00:00:00,527.5,527.5,527.5,527.5
2019-02-07T00:00:00,550,555,550,555
2019-02-08T00:00:00,565,565,565,565
2019-02-11T00:00:00,562.5,562.5,555,555
2019-02-12T00:00:00,557.5,557.5,557.5,557.5
2019-02-13T00:00:00,565,565,565,565
2019-02-14T00:00:00,567.5,567.5,567.5,567.5
2019-02-15T00:00:00,565,565,565,565
2019-02-18T00:00:00,570,570,567.5,567.5
2019-02-19T00:00:00,570,570,570,570
2019-02-20T00:00:00,565,565,562.5,562.5
2019-02-21T00:00:00,567.5,572.5,567.5,572.5
2019-02-22T00:00:00,570,570,567.5,567.5
2019-02-25T00:00:00,552.5,557.5,552.5,557.5
2019-02-26T00:00:00,550,550,547.5,547.5
2019-02-27T00:00:00,552.5,552.5,545,545
2019-02-28T00:00:00,542.5,542.5,542.5,542.5
2019-03-01T00:00:00,552.5,552.5,552.5,552.5
2019-03-04T00:00:00,557.5,557.5,547.5,547.5
2019-03-05T00:00:00,547.5,547.5,542.5,542.5
2019-03-06T00:00:00,542.5,542.5,542.5,542.5
2019-03-07T00:00:00,542.5,542.5,542.5,542.5
2019-03-08T00:00:00,540,540,540,540
2019-03-11T00:00:00,542.5,542.5,537.5,537.5
2019-03-12T00:00:00,530,530,530,530
2019-03-13T00:00:00,530,530,525,525
2019-03-14T00:00:00,525,525,520,520
2019-03-15T00:00:00,520,520,515,515
2019-03-18T00:00:00,520,520,517.5,517.5
2019-03-19T00:00:00,517.5,525,517.5,525
2019-03-20T00:00:00,527.5,527.5,527.5,527.5
2019-03-21T00:00:00,530,530,530,530
2019-03-22T00:00:00,530,530,530,530
2019-03-25T00:00:00,525,525,525,525
2019-03-26T00:00:00,517.5,517.5,517.5,517.5
2019-03-27T00:00:00,510,510,510,510
2019-03-28T00:00:00,515,515,515,515
2019-03-29T00:00:00,512.5,512.5,512.5,512.5
2019-04-01T00:00:00,520,520,507.5,507.5
2019-04-02T00:00:00,520,520,510,510
2019-04-03T00:00:00,520,520,520,520
2019-04-04T00:00:00,525,525,525,525
2019-04-05T00:00:00,540,540,540,540
2019-04-08T00:00:00,532.5,532.5,530,530
2019-04-09T00:00:00,537.5,537.5,535,535
2019-04-10T00:00:00,540,540,537.5,537.5
2019-04-11T00:00:00,545,545,532.5,532.5
2019-04-12T00:00:00,540,540,532.5,532.5
2019-04-15T00:00:00,530,530,520,520
2019-04-16T00:00:00,527.5,530,527.5,530
2019-04-17T00:00:00,540,540,540,540
2019-04-18T00:00:00,540,540,537.5,537.5
2019-04-23T00:00:00,532.5,532.5,532.5,532.5
2019-04-24T00:00:00,532.5,535,532.5,535
2019-04-25T00:00:00,537.5,537.5,537.5,537.5
2019-04-26T00:00:00,527.5,527.5,527.5,527.5
2019-04-29T00:00:00,525,525,525,525
2019-04-30T00:00:00,525,530,525,530
2019-05-02T00:00:00,525,525,520,520
2019-05-03T00:00:00,520,520,517.5,517.5
2019-05-06T00:00:00,507.5,510,507.5,510
2019-05-07T00:00:00,512.5,515,512.5,515
2019-05-08T00:00:00,510,510,507.5,507.5
2019-05-09T00:00:00,510,510,495,495
2019-05-10T00:00:00,512.5,512.5,510,510
2019-05-13T00:00:00,510,510,510,510
2019-05-14T00:00:00,515,515,515,515
2019-05-15T00:00:00,520,520,520,520
2019-05-16T00:00:00,530,530,525,525
2019-05-17T00:00:00,525,527.5,525,527.5
2019-05-20T00:00:00,525,535,525,535
2019-05-21T00:00:00,512.5,515,512.5,515
2019-05-22T00:00:00,515,515,515,515
2019-05-23T00:00:00,507.5,507.5,492.5,492.5
2019-05-24T00:00:00,495,495,492.5,492.5
2019-05-27T00:00:00,515,515,515,515
2019-05-28T00:00:00,510,510,502.5,502.5
2019-05-29T00:00:00,502.5,512.5,502.5,512.5
2019-05-31T00:00:00,510,510,505,505
2019-06-03T00:00:00,505,505,505,505
2019-06-04T00:00:00,510,510,510,510
2019-06-05T00:00:00,515,515,505,505
2019-06-06T00:00:00,515,515,505,505
2019-06-07T00:00:00,505,505,505,505
2019-06-11T00:00:00,497.5,497.5,495,495
2019-06-12T00:00:00,490,490,485,485
2019-06-13T00:00:00,490,490,487.5,487.5
2019-06-14T00:00:00,492.5,492.5,485,485
2019-06-17T00:00:00,495,495,495,495
2019-06-18T00:00:00,495,495,495,495
2019-06-19T00:00:00,500,502.5,500,502.5
2019-06-20T00:00:00,502.5,507.5,502.5,507.5
2019-06-21T00:00:00,507.5,507.5,507.5,507.5
2019-06-24T00:00:00,510,512.5,510,512.5
2019-06-25T00:00:00,512.5,512.5,507.5,507.5
2019-06-26T00:00:00,505,505,502.5,502.5
2019-06-27T00:00:00,505,505,505,505
2019-06-28T00:00:00,507.5,507.5,500,500
2019-07-01T00:00:00,505,505,502.5,502.5
2019-07-02T00:00:00,505,505,497.5,497.5
2019-07-03T00:00:00,500,500,497.5,497.5
2019-07-04T00:00:00,500,500,497.5,497.5
2019-07-05T00:00:00,502.5,502.5,497.5,497.5
2019-07-08T00:00:00,495,495,490,490
2019-07-09T00:00:00,492.5,492.5,487.5,487.5
2019-07-10T00:00:00,490,490,485,485
2019-07-11T00:00:00,490,490,485,485
2019-07-12T00:00:00,487.5,487.5,487.5,487.5
2019-07-15T00:00:00,485,485,485,485
2019-07-16T00:00:00,480,480,480,480
2019-07-17T00:00:00,485,485,485,485
2019-07-18T00:00:00,482.5,482.5,482.5,482.5
2019-07-19T00:00:00,505,505,485,485
2019-07-22T00:00:00,490,490,490,490
2019-07-23T00:00:00,495,495,495,495
2019-07-24T00:00:00,512.5,512.5,510,510
2019-07-25T00:00:00,515,515,515,515
2019-07-26T00:00:00,517.5,517.5,517.5,517.5
2019-07-29T00:00:00,512.5,512.5,507.5,507.5
2019-07-30T00:00:00,510,510,500,500
2019-07-31T00:00:00,507.5,507.5,505,505
2019-08-01T00:00:00,510,510,505,505
2019-08-02T00:00:00,507.5,507.5,505,505
2019-08-05T00:00:00,515,515,510,510
2019-08-06T00:00:00,512.5,512.5,505,505
2019-08-07T00:00:00,510,510,510,510
2019-08-08T00:00:00,532.5,532.5,532.5,532.5
2019-08-09T00:00:00,540,540,535,535
2019-08-12T00:00:00,535,535,535,535
2019-08-13T00:00:00,545,545,525,525
2019-08-14T00:00:00,530,530,520,520
2019-08-15T00:00:00,547.5,547.5,530,530
2019-08-16T00:00:00,535,535,535,535
2019-08-19T00:00:00,540,540,540,540
2019-08-20T00:00:00,540,540,530,530
2019-08-21T00:00:00,535,535,535,535
2019-08-22T00:00:00,570,570,567.5,567.5
2019-08-23T00:00:00,575,575,567.5,567.5
2019-08-26T00:00:00,572.5,572.5,572.5,572.5
2019-08-27T00:00:00,567.5,567.5,567.5,567.5
2019-08-28T00:00:00,575,575,570,570
2019-08-29T00:00:00,570,570,570,570
2019-08-30T00:00:00,565,570,565,570
2019-09-02T00:00:00,567.5,567.5,567.5,567.5
2019-09-03T00:00:00,567.5,567.5,565,565
2019-09-04T00:00:00,570,570,567.5,567.5
2019-09-05T00:00:00,567.5,567.5,557.5,557.5
2019-09-06T00:00:00,572.5,572.5,572.5,572.5
2019-09-09T00:00:00,570,580,570,580
2019-09-10T00:00:00,567.5,582.5,567.5,582.5
2019-09-11T00:00:00,567.5,585,567.5,585
2019-09-12T00:00:00,585,585,585,585
2019-09-13T00:00:00,572.5,572.5,565,565
2019-09-16T00:00:00,590,590,590,590
2019-09-17T00:00:00,572.5,572.5,572.5,572.5
2019-09-18T00:00:00,575,580,575,580
2019-09-19T00:00:00,570,570,567.5,567.5
2019-09-20T00:00:00,570,570,562.5,562.5
2019-09-23T00:00:00,567.5,567.5,557.5,557.5
2019-09-24T00:00:00,562.5,562.5,545,545
2019-09-25T00:00:00,535,535,535,535
2019-09-26T00:00:00,540,540,532.5,532.5
2019-09-27T00:00:00,535,535,530,530
2019-09-30T00:00:00,547.5,547.5,520,520
2019-10-01T00:00:00,540,540,527.5,527.5
